39,6,77516,9,13,3,9,4,1,2,2174,0,40,1,0,
50,2,83311,9,13,1,5,3,1,2,0,0,13,1,0,
38,1,215646,13,9,2,7,4,1,2,0,0,40,1,0,
53,1,234721,7,7,1,7,3,5,2,0,0,40,1,0,
28,1,338409,9,13,1,6,1,5,1,0,0,40,13,0,
37,1,284582,10,14,1,5,1,1,1,0,0,40,1,0,
49,1,160187,5,5,6,3,4,5,1,0,0,16,19,0,
52,2,209642,13,9,1,5,3,1,2,0,0,45,1,1,
31,1,45781,10,14,3,6,4,1,1,14084,0,50,1,1,
42,1,159449,9,13,1,5,3,1,2,5178,0,40,1,1,
37,1,280464,12,10,1,5,3,5,2,0,0,80,1,1,
30,6,141297,9,13,1,6,3,2,2,0,0,40,8,1,
23,1,122272,9,13,3,9,2,1,1,0,0,30,1,0,
32,1,205019,15,12,3,4,4,5,2,0,0,50,1,0,
34,1,245487,4,4,1,11,3,3,2,0,0,45,21,0,
25,2,176756,13,9,3,10,2,1,2,0,0,35,1,0,
32,1,186824,13,9,3,8,6,1,2,0,0,40,1,0,
38,1,28887,7,7,1,4,3,1,2,0,0,50,1,0,
43,2,292175,10,14,2,5,6,1,1,0,0,45,1,1,
40,1,193524,11,16,1,6,3,1,2,0,0,60,1,1,
54,1,302146,13,9,4,3,6,5,1,0,0,20,1,0,
35,4,76845,5,5,1,10,3,5,2,0,0,40,1,0,
43,1,117037,7,7,1,11,3,1,2,0,2042,40,1,0,
59,1,109015,13,9,2,1,6,1,1,0,0,40,1,0,
56,5,216851,9,13,1,1,3,1,2,0,0,40,1,1,
19,1,168294,13,9,3,2,2,1,2,0,0,40,1,0,
39,1,367260,13,9,2,5,4,1,2,0,0,80,1,0,
49,1,193366,13,9,1,2,3,1,2,0,0,40,1,0,
23,5,190709,15,12,3,13,4,1,2,0,0,52,1,0,
20,1,266015,12,10,3,4,2,5,2,0,0,44,1,0,
45,1,386940,9,13,2,5,2,1,2,0,1408,40,1,0,
30,4,59951,12,10,1,9,2,1,2,0,0,40,1,0,
22,6,311512,12,10,1,3,3,5,2,0,0,15,1,0,
48,1,242406,7,7,3,8,6,1,2,0,0,40,4,0,
21,1,197200,12,10,3,8,2,1,2,0,0,40,1,0,
19,1,544091,13,9,7,9,1,1,1,0,0,25,1,0,
48,2,265477,15,12,1,6,3,1,2,0,0,40,1,0,
31,1,507875,5,5,1,8,3,1,2,0,0,43,1,0,
53,2,88506,9,13,1,6,3,1,2,0,0,40,1,0,
24,1,172987,9,13,1,1,3,1,2,0,0,50,1,0,
49,1,94638,13,9,4,9,6,1,1,0,0,40,1,0,
25,1,289980,13,9,3,7,4,1,2,0,0,35,1,0,
57,4,337895,9,13,1,6,3,5,2,0,0,40,1,1,
53,1,144361,13,9,1,8,3,1,2,0,0,38,1,0,
44,1,128354,10,14,2,5,6,1,1,0,0,40,1,0,
41,6,101603,16,11,1,2,3,1,2,0,0,40,1,0,
29,1,271466,16,11,3,6,4,1,2,0,0,43,1,0,
25,1,32275,12,10,1,5,1,4,1,0,0,40,1,0,
47,1,51835,14,15,1,6,1,1,1,0,1902,60,15,1,
50,4,251585,9,13,2,5,4,1,2,0,0,55,1,1,
47,3,109832,13,9,2,5,4,1,2,0,0,60,1,0,
43,1,237993,12,10,1,1,3,1,2,0,0,40,1,1,
46,1,216666,3,3,1,8,3,1,2,0,0,40,21,0,
35,1,56352,16,11,1,3,3,1,2,0,0,40,4,0,
41,1,147372,13,9,1,9,3,1,2,0,0,48,1,0,
30,1,188146,13,9,1,8,3,1,2,5013,0,40,1,0,
